epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4823.26,1.0089,1.71941,0.79154,1.13387,0.83658,0.70455,0.78011,0.46737,0.81905,0.72012,0.7833,0.48882,1.47233,2.39674,1.14295,1.53444,0.0010892,0.0010892,0.0010892
71,4889.32,1.00143,1.70482,0.7833,1.13179,0.76362,0.78788,0.80241,0.47629,0.75607,0.7803,0.79898,0.50378,1.4389,2.33249,1.08492,1.44672,0.001076,0.001076,0.001076
72,4953.32,0.98442,1.6907,0.7841,1.12219,0.73121,0.76515,0.78398,0.47841,0.74348,0.77273,0.78864,0.4982,1.36715,2.45602,1.02456,1.4495,0.0010628,0.0010628,0.0010628
73,5019.3,1.00104,1.68945,0.78768,1.13414,0.81526,0.69697,0.78894,0.47816,0.85509,0.71525,0.80022,0.49801,1.49736,2.32775,1.00405,1.63001,0.0010496,0.0010496,0.0010496
74,5082.53,0.99403,1.70509,0.78515,1.12696,0.76862,0.68939,0.78449,0.45976,0.7793,0.69697,0.78741,0.47902,1.59592,2.34822,0.98465,1.6918,0.0010364,0.0010364,0.0010364
75,5159.21,0.97346,1.65895,0.76363,1.12297,0.81212,0.69697,0.76464,0.43768,0.8391,0.7197,0.77449,0.46924,1.48795,2.41914,1.13991,1.56361,0.0010232,0.0010232,0.0010232
76,5224.43,0.9874,1.68148,0.7671,1.1274,0.78016,0.75758,0.8118,0.48194,0.81838,0.75758,0.81018,0.49001,1.50359,2.45804,1.08924,1.61216,0.00101,0.00101,0.00101
77,5290.49,0.97395,1.66809,0.76651,1.1166,0.87299,0.67424,0.78504,0.46066,0.89412,0.68939,0.78826,0.49458,1.62958,2.45633,0.95036,1.7052,0.0009968,0.0009968,0.0009968
78,5353.75,0.98766,1.67438,0.75676,1.12308,0.81428,0.66431,0.76967,0.4651,0.84688,0.67424,0.77652,0.4718,1.52415,2.5006,1.03231,1.62263,0.0009836,0.0009836,0.0009836
79,5416.04,0.94423,1.615,0.7295,1.11344,0.85409,0.70956,0.7907,0.47837,0.83352,0.72067,0.78891,0.49056,1.55192,2.4261,0.95535,1.66353,0.0009704,0.0009704,0.0009704
80,5481.96,0.95596,1.62314,0.73434,1.11208,0.74031,0.78788,0.79389,0.47897,0.84916,0.72506,0.79845,0.49961,1.40169,2.5064,1.27525,1.48548,0.0009572,0.0009572,0.0009572
81,5547.28,0.96905,1.64602,0.73081,1.11244,0.69979,0.75758,0.75934,0.44843,0.82014,0.67424,0.77477,0.47545,1.49838,2.45682,1.20602,1.56783,0.000944,0.000944,0.000944
82,5619.09,0.96594,1.62442,0.72631,1.11101,0.73952,0.74242,0.77856,0.46914,0.76643,0.74242,0.79347,0.48656,1.54143,2.4483,1.01507,1.67048,0.0009308,0.0009308,0.0009308
83,5682.91,0.96066,1.62984,0.73565,1.10815,0.7576,0.71034,0.77616,0.46867,0.76259,0.69697,0.76997,0.48401,1.56936,2.40709,1.0234,1.62817,0.0009176,0.0009176,0.0009176
84,5745.31,0.94628,1.59317,0.7091,1.10037,0.83884,0.67036,0.77682,0.45401,0.88391,0.67424,0.78433,0.48536,1.52717,2.46711,1.06084,1.58616,0.0009044,0.0009044,0.0009044
85,5815.61,0.94686,1.61069,0.72644,1.10577,0.74278,0.71212,0.773,0.46086,0.76293,0.7197,0.77546,0.47896,1.48597,2.4053,1.27952,1.56943,0.0008912,0.0008912,0.0008912
86,5878.65,0.93281,1.57502,0.70433,1.09149,0.86417,0.67478,0.78425,0.45439,0.87387,0.68236,0.78344,0.49088,1.51325,2.4514,0.97456,1.64502,0.000878,0.000878,0.000878
